state_component, stat, schedule, label_scheme, N, result
goal.food, acc, 1, a, 3934, 0.6464159
goal.food, l2, 1, a, 3934, 0.6668260
goal.food, l2.binary, 1, a, 3934, 0.6864626
goal.food, avgp, 1, a, 3934, 0.6363198
goal.food, neglogp, 1, a, 3934, 2.9240536
goal.food, mrr, 1, a, 3934, 0.6760295
goal.food, update.acc, 1, a, 3934, 0.2316798
goal.food, update.prec, 1, a, 3934, 0.8763326
goal.food, roc.v1_eer, 1, a, 3934, 0.3848500
goal.food, roc.v1_ca05, 1, a, 3934, 0.0002542
goal.food, roc.v1_ca10, 1, a, 3934, 0.0002542
goal.food, roc.v1_ca20, 1, a, 3934, 0.4649212
goal.food, roc.v2_ca05, 1, a, 3934, 0.0003932
goal.food, roc.v2_ca10, 1, a, 3934, 0.0003932
goal.food, roc.v2_ca20, 1, a, 3934, 0.0003932
goal.pricerange, acc, 1, a, 3934, 0.8945094
goal.pricerange, l2, 1, a, 3934, 0.1871800
goal.pricerange, l2.binary, 1, a, 3934, 0.1904209
goal.pricerange, avgp, 1, a, 3934, 0.8865073
goal.pricerange, neglogp, 1, a, 3934, 0.7089268
goal.pricerange, mrr, 1, a, 3934, 0.9149720
goal.pricerange, update.acc, 1, a, 3934, 0.4415406
goal.pricerange, update.prec, 1, a, 3934, 0.9639640
goal.pricerange, roc.v1_eer, 1, a, 3934, 0.1431113
goal.pricerange, roc.v1_ca05, 1, a, 3934, 0.7488561
goal.pricerange, roc.v1_ca10, 1, a, 3934, 0.8940010
goal.pricerange, roc.v1_ca20, 1, a, 3934, 0.8945094
goal.pricerange, roc.v2_ca05, 1, a, 3934, 0.0002842
goal.pricerange, roc.v2_ca10, 1, a, 3934, 0.0002842
goal.pricerange, roc.v2_ca20, 1, a, 3934, 0.0002842
goal.name, acc, 1, a, 3934, 0.9867819
goal.name, l2, 1, a, 3934, 0.0258411
goal.name, l2.binary, 1, a, 3934, 0.0259204
goal.name, avgp, 1, a, 3934, 0.9857562
goal.name, neglogp, 1, a, 3934, 0.0970613
goal.name, mrr, 1, a, 3934, 0.9904677
